highlighted_texts,top_word,label,confidence
주니어 생글 기자가 간다 주니어 생글 기자가 간다] 여,기자,neutral,"{'negative': 0.04151507, 'positive': 0.7041714, 'neutral': 99.25431}"
도시 밑그림 공개된다,밑그림,neutral,"{'negative': 0.028095135, 'positive': 0.02167137, 'neutral': 99.95023}"
[포토타임]순직 소방공무원 9명 [포토타임]순직,순직,negative,"{'negative': 79.86057, 'positive': 0.06591739, 'neutral': 20.073511}"
도-우즈벡 미래에너지 기술 교류회 등,우즈벡,neutral,"{'negative': 0.024440795, 'positive': 0.023278352, 'neutral': 99.95228}"
정치신인의 신선함이 오히려 장점,신인,positive,"{'negative': 0.018055407, 'positive': 99.96684, 'neutral': 0.0151029425}"
정상회의 한국 개최 의미 다뤄,의미,neutral,"{'negative': 0.025596607, 'positive': 0.049691066, 'neutral': 99.92471}"
우려,우려,negative,"{'negative': 99.9818, 'positive': 0.008638489, 'neutral': 0.009561474}"
일 지방정부 간 교류와 협력 강화 모색,지방정부,neutral,"{'negative': 0.09842555, 'positive': 4.62559, 'neutral': 95.275986}"
신재생 전력으로 제주 풍력발전기에 야간 조명,조명,neutral,"{'negative': 0.037533697, 'positive': 0.030826729, 'neutral': 99.93164}"
주민 갈등은 아직,갈등,negative,"{'negative': 99.971016, 'positive': 0.00676539, 'neutral': 0.022215495}"
햇빛 이익공유 논란 바람·햇빛,햇빛,negative,"{'negative': 85.6879, 'positive': 0.006591267, 'neutral': 14.305511}"
분산에너지법 시행 앞두고 전력시장 토론회 개최 분산에너지법 시행 ,지법,neutral,"{'negative': 0.058213305, 'positive': 0.025468573, 'neutral': 99.91632}"
제주 애월 개발 논란 일축,애월,neutral,"{'negative': 0.2207783, 'positive': 2.8625424, 'neutral': 96.91668}"
"제주에서 토레스 EVX 타보세요 ""제주에서 토레스 EVX 타보세요""…",토레스,neutral,"{'negative': 0.04973792, 'positive': 0.05559863, 'neutral': 99.89466}"
나무심기’ 등 지자체 주민 의견 반영 탄소중립 기본계획 수립,계획,neutral,"{'negative': 0.070707135, 'positive': 0.17453034, 'neutral': 99.75476}"
포커스] 대세는 데이터기반 에너지정책,대세,neutral,"{'negative': 0.016182227, 'positive': 0.029520588, 'neutral': 99.9543}"
주택시장 안정화 ,안정화,positive,"{'negative': 0.020966835, 'positive': 99.79672, 'neutral': 0.18230702}"
유권자들 난리납니다,난리,negative,"{'negative': 99.9624, 'positive': 0.006549213, 'neutral': 0.031050373}"
디지털 전력 솔루션 선보여,디지털,neutral,"{'negative': 0.018710246, 'positive': 0.18348928, 'neutral': 99.7978}"
2035 탄소중립 달성 시나리오 제시,시나리오,neutral,"{'negative': 0.07334536, 'positive': 0.044399157, 'neutral': 99.882256}"
국민의미래와 자유통일당의 난타전,자유통일,negative,"{'negative': 99.981995, 'positive': 0.008213105, 'neutral': 0.009791878}"
국비 확보 전략은?,국비,neutral,"{'negative': 0.04661774, 'positive': 0.072334744, 'neutral': 99.88105}"
마진 등 공개,마진,neutral,"{'negative': 0.030405795, 'positive': 0.05299621, 'neutral': 99.916595}"
민관공 벤치마킹 줄이어,민관공,neutral,"{'negative': 0.14776082, 'positive': 0.35047138, 'neutral': 99.50177}"
녹색정의당 지도부 제주 찾아 지지 호소,도부,positive,"{'negative': 0.059538975, 'positive': 96.03438, 'neutral': 3.9060848}"
경로당에 태양광 설치,설치,neutral,"{'negative': 0.030867135, 'positive': 0.29785332, 'neutral': 99.67128}"
제주 일자리 예산 복원해 미래 열 것 '재선 ,일자리,positive,"{'negative': 0.026600685, 'positive': 83.811295, 'neutral': 16.162102}"
이유 살펴보니,이유,neutral,"{'negative': 0.011090345, 'positive': 0.013981577, 'neutral': 99.97493}"
"기후 위기 대응이 이상론 천호 ""기후 위기 대응이  조천호 """,기후,negative,"{'negative': 46.16302, 'positive': 43.215992, 'neutral': 10.620987}"
[2024 총선 레이더 ' JDC 이사장 지낸,이사장,neutral,"{'negative': 0.15689166, 'positive': 0.024267586, 'neutral': 99.81884}"
요트로 이어진 경북 포항~중국 칭다오 다방면 교류 약속,경북,neutral,"{'negative': 0.04216297, 'positive': 0.2453675, 'neutral': 99.71247}"
투어,투어,neutral,"{'negative': 0.02765483, 'positive': 0.13570046, 'neutral': 99.83665}"
지자체 주도로 대화의 장 마련해야,대화,neutral,"{'negative': 0.30339873, 'positive': 0.06691752, 'neutral': 99.629684}"
재미없어진 이유 있었다,이유,negative,"{'negative': 99.95547, 'positive': 0.011956604, 'neutral': 0.03257981}"
양수발전 추가 건설로 신재생 뒷받침 ,뒷받침,neutral,"{'negative': 0.4344414, 'positive': 48.618855, 'neutral': 50.946705}"
"해상풍력  국동서발전, 수소·양",국동,positive,"{'negative': 0.024241954, 'positive': 85.71604, 'neutral': 14.259716}"
올해 AI 등 첨단기술에 5000억 투입,투입,neutral,"{'negative': 0.09334027, 'positive': 2.0727534, 'neutral': 97.83391}"
샛노란 꽃 만발한 봄,만발,neutral,"{'negative': 0.029449383, 'positive': 0.26201245, 'neutral': 99.70854}"
APEC 정상회의 제주 유치 촉구,촉구,neutral,"{'negative': 0.34925798, 'positive': 0.10053273, 'neutral': 99.55021}"
그린수소 시스템 효과성 입증 성공,성공,positive,"{'negative': 0.023300942, 'positive': 99.95986, 'neutral': 0.016837705}"
중동 시장 향해 날아오르는 제주,중동,positive,"{'negative': 0.023199495, 'positive': 99.94255, 'neutral': 0.034248903}"
총선 제주 당선인들 오영훈 지사 만나 ,당선,neutral,"{'negative': 0.04913568, 'positive': 0.057098653, 'neutral': 99.89377}"
업그레이드된 프로모션 진행,업그레이드,neutral,"{'negative': 0.04323224, 'positive': 2.0601785, 'neutral': 97.89659}"
테크]친환경 모빌리티 해법 ,해법,neutral,"{'negative': 0.03378435, 'positive': 0.047223438, 'neutral': 99.91899}"
녹색미래 위한 에너지 대전환 협력 논의,녹색,neutral,"{'negative': 0.03361522, 'positive': 0.14877148, 'neutral': 99.81761}"
판교 오피스 전력 조달,판교,neutral,"{'negative': 0.021145184, 'positive': 0.023075325, 'neutral': 99.95578}"
지민비조,비조,neutral,"{'negative': 0.18516387, 'positive': 0.11661177, 'neutral': 99.69823}"
분산에너지 특화지역 선점 연구용역 착수,연구,neutral,"{'negative': 0.042719927, 'positive': 0.028138032, 'neutral': 99.929146}"
문연다,가격,neutral,"{'negative': 0.027933631, 'positive': 0.04880638, 'neutral': 99.92326}"
발리는 발리의 재밌는리조트 이름들,리조트,neutral,"{'negative': 0.002029986, 'positive': 0.00895988, 'neutral': 99.98901}"
제주도 달려볼까 제주도,제주도,neutral,"{'negative': 0.14813888, 'positive': 0.9813478, 'neutral': 98.870514}"
덴마크 해상풍력 기반 그린수소 경제 육성 협력,덴마크,neutral,"{'negative': 0.033260006, 'positive': 0.042526, 'neutral': 99.92422}"
분산에너지 특구 선점 경쟁,경쟁,neutral,"{'negative': 0.1478393, 'positive': 0.20997307, 'neutral': 99.64219}"
"경로당에 태양광 발전설비 지원 제주도, 마을회관·",회관,positive,"{'negative': 0.022524957, 'positive': 85.68837, 'neutral': 14.289104}"
2024 대한민국 과학축제,대한민국,neutral,"{'negative': 0.030375509, 'positive': 0.04578569, 'neutral': 99.923836}"
‘2024 대한민국 과학축제,대한민국,neutral,"{'negative': 0.02955602, 'positive': 0.02475069, 'neutral': 99.945694}"
광역지자체가 직접 나선다,직접,neutral,"{'negative': 0.06275719, 'positive': 0.060750116, 'neutral': 99.876495}"
"2025 APEC 정상회의 개최 주도, 2025 APEC",주도,neutral,"{'negative': 0.12428528, 'positive': 0.05067409, 'neutral': 99.82504}"
제주 ‘탐라해상풍력 풍력’ 가 제주 ,풍력,positive,"{'negative': 0.024717808, 'positive': 74.972946, 'neutral': 25.002337}"
러 공장 타격,공장,neutral,"{'negative': 0.08222495, 'positive': 0.01863704, 'neutral': 99.89914}"
[당선인 인터뷰  공감 못 하는,공감,negative,"{'negative': 85.578674, 'positive': 0.016274728, 'neutral': 14.405048}"
재생에너지를 끄는 나라 VS 그린수소를 만드는 나라,나라,neutral,"{'negative': 0.04763702, 'positive': 0.039854944, 'neutral': 99.912506}"
차세대 원자로로 에너지 문제 해결,원자로,neutral,"{'negative': 0.21839897, 'positive': 0.44768393, 'neutral': 99.333916}"
제주시갑 경제피해,제주시,negative,"{'negative': 99.85701, 'positive': 0.004721629, 'neutral': 0.1382701}"
[인사,인사,neutral,"{'negative': 0.03190933, 'positive': 0.020718303, 'neutral': 99.94737}"
`제주 더힐 테라스,더힐,neutral,"{'negative': 0.04390554, 'positive': 0.06983682, 'neutral': 99.88626}"
전국보다 제주 기름값,기름값,neutral,"{'negative': 0.10273706, 'positive': 0.035554513, 'neutral': 99.86171}"
경로당 태양광발전설비 무상 설치,무상,neutral,"{'negative': 0.28923488, 'positive': 17.860388, 'neutral': 81.85038}"
환경엔 악영향,영향,negative,"{'negative': 99.97077, 'positive': 0.01260667, 'neutral': 0.01662416}"
나눔 확산,나눔,positive,"{'negative': 0.021991057, 'positive': 99.96472, 'neutral': 0.01328359}"
대창모터스와 손잡고 화재예방 기술 개발,대창,neutral,"{'negative': 0.0372426, 'positive': 0.24155876, 'neutral': 99.7212}"
현대글로비스,현대,neutral,"{'negative': 0.034214325, 'positive': 0.02347134, 'neutral': 99.942314}"
투루차저 전기차 충전소 전국 3100개소 돌파,돌파,neutral,"{'negative': 0.048115563, 'positive': 0.5444886, 'neutral': 99.407394}"
총선 예비후보를 만나다 총선 예비후보를 만나다],예비,neutral,"{'negative': 0.21459681, 'positive': 2.4856184, 'neutral': 97.29978}"
글로벌제주 논의 제주포럼 31일 폐막,폐막,neutral,"{'negative': 0.028330494, 'positive': 0.024523847, 'neutral': 99.94714}"
한발짝 더,발짝,neutral,"{'negative': 0.063989066, 'positive': 0.30369505, 'neutral': 99.63232}"
제주에 그린수소 충전시설 추가 구축,추가,neutral,"{'negative': 0.06623501, 'positive': 0.10468679, 'neutral': 99.82908}"
서해를 바라보는 너그러운 돌부처들의 절,돌부처,neutral,"{'negative': 0.06472305, 'positive': 1.6067927, 'neutral': 98.32848}"
"당신 편이 되어줄 국선 변호사가 있습니다 ""성범죄 ",국선,neutral,"{'negative': 0.35425887, 'positive': 2.027382, 'neutral': 97.61836}"
하이난성과 교류분야 확대 추진,하이난성,neutral,"{'negative': 0.103040785, 'positive': 2.6950765, 'neutral': 97.20188}"
녹색성장으로 공동번영 이끌자,번영,positive,"{'negative': 0.02093874, 'positive': 99.85924, 'neutral': 0.119822055}"
당 차원 적극 검토,차원,neutral,"{'negative': 0.23676975, 'positive': 0.25267306, 'neutral': 99.51056}"
여행 가볼까 성공예감] 노란 ,성공예감,neutral,"{'negative': 0.0132172275, 'positive': 0.0100951195, 'neutral': 99.976685}"
불안한 제주 주택시장,주택,negative,"{'negative': 99.97274, 'positive': 0.008308015, 'neutral': 0.018953612}"
서민연료 안전 관리에 총력,서민,neutral,"{'negative': 0.378699, 'positive': 17.44575, 'neutral': 82.17555}"
‘그린수소’가 해답 제시,해답,neutral,"{'negative': 0.09583883, 'positive': 0.02865726, 'neutral': 99.8755}"
취약층 에너지 사용 환경 개선 나선다,개선,positive,"{'negative': 0.013648374, 'positive': 99.96885, 'neutral': 0.017501913}"
2035년까지 탄소중립 사회 실현 도전,사회,neutral,"{'negative': 0.087611735, 'positive': 0.08746869, 'neutral': 99.82492}"
[스트레이트  '오픈런' 시대 - 버려진,버려진,negative,"{'negative': 85.61799, 'positive': 0.013837784, 'neutral': 14.3681755}"
‘방부제 골퍼,골퍼,neutral,"{'negative': 0.14657952, 'positive': 4.8331966, 'neutral': 95.020226}"
지정 속도 낸다,속도,neutral,"{'negative': 0.024998087, 'positive': 0.15399943, 'neutral': 99.821}"
넘치는 태양광,태양광,neutral,"{'negative': 0.055756394, 'positive': 0.6426019, 'neutral': 99.30164}"
붙잡고 ,가격,neutral,"{'negative': 2.497675, 'positive': 2.8662992, 'neutral': 94.636024}"
"18 전날  제주-광주, 민주평화와 상",광주,positive,"{'negative': 0.024776312, 'positive': 84.92517, 'neutral': 15.050056}"
차는 70만대 넘는다,가격,neutral,"{'negative': 0.1825162, 'positive': 0.08900551, 'neutral': 99.72848}"
전국 최초 주말돌봄 혁신 ‘꿈낭’ 모델 전국 공유,전국,neutral,"{'negative': 0.10351046, 'positive': 7.1608624, 'neutral': 92.73563}"
서울 한복판에서 울려 퍼진 ,복판,neutral,"{'negative': 0.08838909, 'positive': 0.6163922, 'neutral': 99.29522}"
미래 위해 ,위해,neutral,"{'negative': 0.07632315, 'positive': 0.75970185, 'neutral': 99.16398}"
"하원 중국 노린 틱톡 금지 생생플러스] """,금지,neutral,"{'negative': 0.101774916, 'positive': 0.04309517, 'neutral': 99.85513}"
적극 도와달라,달라,neutral,"{'negative': 0.1304254, 'positive': 0.387687, 'neutral': 99.48189}"
‘앙코르왓트’ 캄보디아 직항편 개설 논의,앙코르왓,neutral,"{'negative': 0.07299832, 'positive': 0.068968095, 'neutral': 99.85803}"
단계별 시행 목소리도,목소리,neutral,"{'negative': 0.06444244, 'positive': 0.053868458, 'neutral': 99.88169}"
주말 끝자락 비,자락,neutral,"{'negative': 0.2886311, 'positive': 0.03775515, 'neutral': 99.673615}"
장기적 비전으로 미래 만들고파,장기,neutral,"{'negative': 0.035398953, 'positive': 0.77288604, 'neutral': 99.19171}"
정호성 기용,기용,negative,"{'negative': 99.88399, 'positive': 0.0031352397, 'neutral': 0.1128807}"
전기차 폐 배터리의 기적 ,기적,positive,"{'negative': 0.026334137, 'positive': 99.9525, 'neutral': 0.021166235}"
차세대 메모리 차세대 메모리,메모리,neutral,"{'negative': 0.0424454, 'positive': 0.06962509, 'neutral': 99.88793}"
지하수 보호 방안 단계적 추진,단계,neutral,"{'negative': 0.08331586, 'positive': 0.14095806, 'neutral': 99.77573}"
기보,기보,neutral,"{'negative': 0.028038522, 'positive': 0.038899645, 'neutral': 99.93306}"
교육균형발전 선도지구 작은학교 네트워크 구성,구성,neutral,"{'negative': 0.038900483, 'positive': 0.20890002, 'neutral': 99.7522}"
차별적 고객가치 제공,가치,positive,"{'negative': 0.023662236, 'positive': 99.93443, 'neutral': 0.041906793}"
국가 총비용 낮출 것,비용,positive,"{'negative': 0.034710202, 'positive': 99.741615, 'neutral': 0.22367506}"
2024년 춘계학술대회 개최,대회,neutral,"{'negative': 0.035058327, 'positive': 0.024223104, 'neutral': 99.94072}"
사랑 실은 제주투어’ 운행,운행,neutral,"{'negative': 0.029291699, 'positive': 0.047181692, 'neutral': 99.92352}"
탄소중립 녹색성장 실천 위한 업무협약 체결,실천,neutral,"{'negative': 0.059736084, 'positive': 1.810803, 'neutral': 98.12946}"
분산법 시행에 따른 전력 시장 대응 방안 세미나 개최,세미나,neutral,"{'negative': 0.038148303, 'positive': 0.022331411, 'neutral': 99.93952}"
1조 7000억대 한화 관광단지 ‘애월포레스트’ 사전 입지 검토,사전,neutral,"{'negative': 0.08678096, 'positive': 0.039367888, 'neutral': 99.87385}"
발전소 건립 전면 철회해야,건립,negative,"{'negative': 99.85528, 'positive': 0.0044887927, 'neutral': 0.1402297}"
[전국 주요 신문 톱뉴스](12일 조간,신문,neutral,"{'negative': 0.019655075, 'positive': 0.018880121, 'neutral': 99.961464}"
제주 그린수소 충전시설 내년 말까지 4개소로 늘 듯,소로,neutral,"{'negative': 0.059354823, 'positive': 0.13445057, 'neutral': 99.8062}"
봉개음식폐기물 처리장 투트랙 카드 꺼내나,카드,neutral,"{'negative': 0.17552601, 'positive': 0.023798816, 'neutral': 99.800674}"
제주에 쌓일 전기차 폐배터리 2만개 차 폐배,폐배,neutral,"{'negative': 0.07393593, 'positive': 0.13309614, 'neutral': 99.79297}"
탄소중립,중립,neutral,"{'negative': 0.04432936, 'positive': 0.15670682, 'neutral': 99.798965}"
경유 가격 이번 주에도 오름세 이어,가격,neutral,"{'negative': 0.024479676, 'positive': 0.032497395, 'neutral': 99.94302}"
제주 그린수소 생태계 확장 방안 모색한다,확장,neutral,"{'negative': 0.038343165, 'positive': 0.5137331, 'neutral': 99.44792}"
청정수소 원년 올해는 직접전,원년,positive,"{'negative': 0.02922407, 'positive': 85.6279, 'neutral': 14.342874}"
제주 음식물 처리 시설 완공,완공,neutral,"{'negative': 0.03973563, 'positive': 0.16929157, 'neutral': 99.79097}"
본예산보다 6.3,예산,neutral,"{'negative': 0.060746267, 'positive': 0.051417112, 'neutral': 99.88784}"
화북2 공공주택지구 개발 청사진 마련 착수,청사진,neutral,"{'negative': 0.039145872, 'positive': 0.031862084, 'neutral': 99.92899}"
전국 평균보다 비싼 기름값,평균,negative,"{'negative': 99.22843, 'positive': 0.3339991, 'neutral': 0.43756676}"
수요 적은 봄철,봄철,neutral,"{'negative': 0.45135227, 'positive': 4.13851, 'neutral': 95.41014}"
캄보디아 총리 만나 ,총리,neutral,"{'negative': 0.11773899, 'positive': 4.639507, 'neutral': 95.24275}"
한림에 LPG 배관망 구축,배관,neutral,"{'negative': 0.028990949, 'positive': 0.022978192, 'neutral': 99.94803}"
제주 중산간에 한화 대규모 관광 개발 제주 중산간에,중산,negative,"{'negative': 85.71466, 'positive': 0.2672773, 'neutral': 14.0180645}"
[기후위기 게 해야?…전문가들,전문가,negative,"{'negative': 85.69499, 'positive': 0.02386865, 'neutral': 14.2811365}"
"[제주소식 자활센터, 업",자활,neutral,"{'negative': 0.0311402, 'positive': 0.021037098, 'neutral': 99.94782}"
제주 광역 음식물류 폐기물처리시설 7년 만에 가동,가동,neutral,"{'negative': 0.17677501, 'positive': 0.6271427, 'neutral': 99.19608}"
민주당 박찬대 대표 면담,대표,neutral,"{'negative': 0.06925118, 'positive': 0.03652083, 'neutral': 99.894226}"
전기차 폐배터리 안전성 정밀 검증 전기,검증,neutral,"{'negative': 0.07604107, 'positive': 0.13958311, 'neutral': 99.78438}"
뜻풀이 해보면,풀이,neutral,"{'negative': 0.0033328955, 'positive': 0.0009827601, 'neutral': 99.99568}"
전력 거래 민간기업 공모,거래,neutral,"{'negative': 0.019307313, 'positive': 0.041693777, 'neutral': 99.938995}"
농업 등 교류 다각화,농업,neutral,"{'negative': 0.05292665, 'positive': 0.26554903, 'neutral': 99.681526}"
관광객 넘치는 제주 넘치는 제주? … ,제주,neutral,"{'negative': 0.26575443, 'positive': 18.07486, 'neutral': 81.659386}"
산둥성과 우호 협력 강화 협의서 체결,산둥성,neutral,"{'negative': 0.042995114, 'positive': 0.34129313, 'neutral': 99.615715}"
기회로 삼아야,아야,neutral,"{'negative': 0.085669845, 'positive': 0.102400735, 'neutral': 99.81193}"
도민 부담 최소화,도민,neutral,"{'negative': 0.32461482, 'positive': 14.429741, 'neutral': 85.24564}"
바이오 육성  우주·UAM·바이오 육성 …,바이오,neutral,"{'negative': 0.13436279, 'positive': 0.40646467, 'neutral': 99.459175}"
제주대 학생들 케네디우주센터 현장교육 간다,케네디,neutral,"{'negative': 0.06464784, 'positive': 0.043762695, 'neutral': 99.89159}"
제주-베트남 롱안성 신산업 분야 교류 강화,롱안,neutral,"{'negative': 0.057924867, 'positive': 0.47712559, 'neutral': 99.46495}"
다이버 안전 위한 ,다이버,neutral,"{'negative': 0.042837683, 'positive': 0.19851722, 'neutral': 99.758644}"
항해지원 기술 개발 추진,항해,neutral,"{'negative': 0.042869072, 'positive': 0.08058341, 'neutral': 99.87655}"
직항로 개설 온 힘,개설,positive,"{'negative': 0.0458513, 'positive': 99.50589, 'neutral': 0.44826165}"
3대 도전,도전,neutral,"{'negative': 0.0676165, 'positive': 0.2568818, 'neutral': 99.6755}"
"[스토리텔링경제  신재생에너지, 볕 들 날보다 바람",스토리텔링,neutral,"{'negative': 0.01858867, 'positive': 0.030794187, 'neutral': 99.950615}"
섬 특성이 되레   특성이 되레 ,되레,positive,"{'negative': 0.10089022, 'positive': 85.582726, 'neutral': 14.316382}"
인조,인조,negative,"{'negative': 99.79984, 'positive': 0.0092528, 'neutral': 0.19090752}"
제주-하이난성,하이난성,neutral,"{'negative': 0.045878187, 'positive': 0.026688233, 'neutral': 99.92744}"
"[리더스포럼] 탄소중립 [리더스포럼] 탄소중립, 비밀은 ",스포,neutral,"{'negative': 0.05022624, 'positive': 0.03602696, 'neutral': 99.91375}"
충북 데이터 기반 행정서비스 활성화 전략 제시,충북,neutral,"{'negative': 0.03216817, 'positive': 0.35994244, 'neutral': 99.60789}"
설치한다,설치,neutral,"{'negative': 0.018526187, 'positive': 0.027981553, 'neutral': 99.95349}"
반도체 등 첨단 기업 유인 효과 효과… ',효과,neutral,"{'negative': 0.3187418, 'positive': 2.33678, 'neutral': 97.344475}"
바람으로 만든 그린수소는 얼마일까 제주의 태양·바람으로,바람,neutral,"{'negative': 0.051408194, 'positive': 0.034536894, 'neutral': 99.914055}"
제주에 환기청정기 필요한 이유 [르포]'청정도시' ,르포,neutral,"{'negative': 0.033190843, 'positive': 0.2241292, 'neutral': 99.74268}"
"작년 이어 제주오피스 사용 전력 재생에너지로 조달 카오, 작년 이어",작년,neutral,"{'negative': 0.043092966, 'positive': 0.05518626, 'neutral': 99.90172}"
"[2024 총선 레이더 총선 레이더] 김한규 ""제주",레이더,neutral,"{'negative': 0.05821058, 'positive': 0.220953, 'neutral': 99.72083}"
사랑 나눔,나눔,positive,"{'negative': 0.021155784, 'positive': 99.856125, 'neutral': 0.12272155}"
[친환경이 돈이다 제주도는 ‘그린’…탄소 없,친환경,neutral,"{'negative': 0.031320486, 'positive': 0.07730501, 'neutral': 99.89137}"
충전 대신 탈부착 탈부착… 전기차 전 대신 탈,대신,neutral,"{'negative': 0.054915562, 'positive': 0.13024342, 'neutral': 99.81484}"
위라이드 등과 자율주행차 도입 등 논의,라이드,neutral,"{'negative': 0.059354536, 'positive': 0.09066092, 'neutral': 99.84998}"
좋은 제주’ 글쎄요 아이 키우기 좋은 제주’ 글쎄요?… 2,글쎄요,negative,"{'negative': 85.70523, 'positive': 0.035592906, 'neutral': 14.259179}"
관광단지 동시 추진에 특혜 공방,동시,negative,"{'negative': 99.97979, 'positive': 0.005712009, 'neutral': 0.014500655}"
제주 기름값 다음달부터 누리집 매주 공개,누리집,neutral,"{'negative': 0.020246673, 'positive': 0.0203449, 'neutral': 99.95941}"
균형발전과 도민복지 공공개발 사업 확대,균형발전,positive,"{'negative': 0.021235676, 'positive': 99.78446, 'neutral': 0.19430289}"
울릉도 제주도로…울릉도·독도로…부,울릉도,neutral,"{'negative': 0.0437458, 'positive': 0.029492276, 'neutral': 99.926765}"
전기차 캐즘 극복할 돌파구될까,돌파구,neutral,"{'negative': 0.068422526, 'positive': 0.034912392, 'neutral': 99.89667}"
김포 서울 편입 공약은 정치적 사기극,공약,negative,"{'negative': 99.98169, 'positive': 0.006518841, 'neutral': 0.011788038}"
기후변화로 1월29일부터 ‘서울의 봄’이라구요,기후변화,neutral,"{'negative': 0.018124063, 'positive': 0.019681346, 'neutral': 99.9622}"
제주포럼 현장서 ‘아세안 플러스 알파’ 협력강화 논의,아세안,neutral,"{'negative': 0.057513736, 'positive': 0.066708766, 'neutral': 99.87578}"
"원탁에 올린  사, 새 탄소흡수",원탁,neutral,"{'negative': 0.044214398, 'positive': 0.034291964, 'neutral': 99.92149}"
